;PM10;PM2.5;Vel Viento 10M;Precipitacion;Dir Viento 10M;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;;HR;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;;%;
01-01-2023 01:00;42;36;0,3;0;283;1,4;0,7;6,5;16,4;22,8;0;12,2;0;;86,94;
01-01-2023 02:00;55;38;0,5;0;294;4;0,5;2,8;9,6;12,5;0;12;0;;86,97;
01-01-2023 03:00;50;32;0,4;0;321;2;0,5;4,9;8,7;13,6;0;11,3;0;;86,58;
01-01-2023 04:00;48;40;0,3;0;303;1,9;0,4;3;6,9;9,8;0;11,3;0;;86,76;
01-01-2023 05:00;48;39;0,3;0;345;1,2;0,5;8,9;6,5;15,3;0;10,9;0;;86,68;
01-01-2023 01:01;43;38;0,3;0;262;1;0,4;4,7;6,1;10,8;0;11,2;0;;86,93;
01-01-2023 02:01;44;31;0,3;0;317;1,4;0,5;10;5,8;15,8;0;11,1;13;;86,77;
01-01-2023 03:01;41;32;0,3;0;309;5,5;0,5;10,2;4,5;14,7;0;12,9;165;;87,63;
01-01-2023 04:01;62;49;1,1;0;330;17,3;0,3;3;2,8;5,9;0;15,8;387;;79,48;
01-01-2023 05:01;58;49;1,2;0;346;20,7;0,2;1,2;2;3,2;0;16,6;189;;67,03;
01-01-2023 01:02;31;27;0,7;0;357;24,7;0,1;0;0;0;0;19,5;363;;56,31;
01-01-2023 02:02;20;14;1,2;0;57;25,4;0,1;0;0;0;0;21,6;515;;43,63;
01-01-2023 03:02;23;12;1,1;0;58;26,6;0,1;0;0;0;0;22,2;505;;41,86;
01-01-2023 04:02;20;11;1,5;0,1;306;29,8;0,1;0;0;0;0;22,5;555;;37,22;
01-01-2023 05:02;19;8;3,5;0;272;33,8;0,1;0;0;0;0;20,9;448;;47,36;
01-01-2023 01:03;20;20;3,3;0;267;31,6;0,1;0;0;0;0;20;354;;53,06;
01-01-2023 02:03;31;16;1,6;0;231;28,2;0,1;0,2;0,5;0,7;0;17,5;77;;60,4;
01-01-2023 03:03;20;17;1;0,2;193;24,9;0,1;0;1,3;1,2;0;15,6;0;;66,95;
01-01-2023 04:03;24;11;0,9;0,4;203;18,6;0,2;0,4;4,2;4,6;0;14,1;0;;76,01;
01-01-2023 05:03;27;11;0,6;3,3;125;15,2;0,2;1,5;4,9;6,5;0;13,1;0;;77,91;
01-01-2023 01:04;20;15;0,6;2,2;209;12,5;0,3;2,2;9,1;11,3;0;12,6;0;;82,62;
01-01-2023 02:04;14;13;0,3;0,2;339;9,3;0,4;1,2;10,5;11,6;0;12,3;0;;82,46;
01-01-2023 03:04;20;12;0,2;0;328;1,5;0,5;9,9;14;24;0;12;0;;82,73;
01-01-2023 04:04;20;11;0,3;0;338;1,9;0,4;12,2;10,9;23,1;0;11,8;0;;83,53;
01-01-2023 05:04;17;14;0,2;0;280;0,8;0,4;12,5;11,1;23,7;0;11,4;0;;83,95;
01-01-2023 01:05;24;11;0,3;0;318;2,6;0,3;10,9;8;18,9;0;11,7;0;;84,96;
01-01-2023 02:05;13;9;0,3;0;296;2,8;0,2;9,7;9,6;19,3;0;11,9;0;;84,79;
01-01-2023 03:05;26;13;0,1;0;268;1,2;0,2;5,2;9,8;14,9;0;11,9;0;;84,44;
01-01-2023 04:05;22;10;0,2;0;333;1;0,2;21,6;7,9;29,5;0;11,4;0;;83,8;
01-01-2023 05:05;26;6;0,5;0;345;0,6;0,5;48,7;8,1;56,7;0;11,1;0;;84,24;
01-01-2023 01:06;31;12;0,5;0;325;0,8;0,5;38,8;9,6;48,4;0;11;6;;84,33;
01-01-2023 02:06;29;16;0,6;0;312;10,7;0,4;18,7;9,5;28,1;0;12,2;93;;82,8;
01-01-2023 03:06;36;15;1;0;359;0;0,3;13,3;8;21,2;0;15,3;207;;69,84;
01-01-2023 04:06;35;19;0,7;0;287;0;0,1;1,7;0,9;2,6;0;17,6;470;;61,59;
01-01-2023 05:06;13;10;0,7;0;242;0;0,1;4,6;3,7;8,2;0;20,3;629;;52,49;
01-01-2023 01:07;27;11;1,1;0;272;0;0,1;1,8;1,8;3,6;0;22,1;642;;43,57;
01-01-2023 02:07;16;10;1,4;0;303;0;0,1;0,5;0,5;1;0;20,5;419;;45,79;
01-01-2023 03:07;19;9;2,6;0;273;0;0,1;0;0;0;0;21,1;530;;47,55;
01-01-2023 04:07;21;6;3,2;0;268;0;0,1;0;0;0;0;19;294;;53,73;
01-01-2023 05:07;17;5;2;0;240;0;0,1;0;0;0;0;17,9;94;;57,35;
01-01-2023 01:08;16;10;1,9;1;161;15,8;0,3;2,9;12,4;15,3;0;15,8;28;;69,08;
01-01-2023 02:08;33;8;1,2;0,6;3;10,7;0,4;5,4;15,4;20,8;0;14,1;9;;77,39;
01-01-2023 03:08;25;16;1,1;0;341;11,3;0,3;0,5;13,1;13,6;0;12,4;0;;80,48;
01-01-2023 04:08;23;12;0,5;0;307;7,9;0,3;0,7;16,1;16,8;0;12,3;0;;81,98;
01-01-2023 05:08;20;11;0,4;0;297;1,2;0,7;21,1;21,6;42,7;0;12,4;0;;81,99;
01-01-2023 01:09;27;9;0,4;0;326;0,8;0,7;21,4;20,7;42,1;0;12,5;0;;82,21;
01-01-2023 02:09;30;21;0,9;0;338;0,6;0,5;10,1;20,8;30,9;0;12,4;0;;82,24;
01-01-2023 03:09;34;22;0,3;0;328;0,7;0,5;18,3;20,9;39,2;0;12,2;0;;81,8;
01-01-2023 04:09;25;19;0,2;0;312;0,5;0,4;11;18;29;0;12,3;0;;81,83;
01-01-2023 05:09;33;19;0,4;0;330;0,5;0,5;26,7;16,6;43,2;0;12,3;0;;82,25;
01-01-2023 01:10;35;24;0,3;0;344;0,5;0,4;27,7;14,1;41,8;0;12,2;0;;82,38;
01-01-2023 02:10;29;17;0,3;0;279;0,6;0,4;27,9;11,1;39;0;12;0;;83;
01-01-2023 03:10;39;18;0,4;0;345;0,4;0,5;54,5;11,1;65,6;0;11,8;0;;83,43;
01-01-2023 04:10;28;25;0,2;0;309;0,6;0,5;62,6;10,5;73,1;0;11,5;0;;83,61;
01-01-2023 05:10;32;16;0,3;0;320;0,8;0,7;59,1;8,8;67,8;0;11;12;;83,88;
01-01-2023 01:11;37;27;0,5;0;212;2;0,9;63;12,1;75,1;0;12,7;98;;84,8;
01-01-2023 02:11;42;26;0,8;0;255;7,9;0,4;22,4;13;35,4;0;15,8;249;;68,9;
01-01-2023 03:11;41;20;0,8;0;241;19,8;0,2;6,3;6;12,3;0;18,3;522;;57,49;
01-01-2023 04:11;23;11;1,2;0;249;28,5;0,2;3,8;4,8;8,7;0;20;576;;47,14;
01-01-2023 05:11;29;17;2,4;0;278;30,6;0,1;1,2;1,6;2,9;0;19,4;444;;48,92;
01-01-2023 01:12;22;4;2,5;0;329;23,6;0,1;0,8;0;0,7;0;17,9;283;;55,74;
01-01-2023 02:12;15;5;1,7;0;337;24,7;0,1;2;1,2;3,2;0;20,1;534;;52,03;
01-01-2023 03:12;15;3;1,4;0;324;25,1;0,1;0,8;0,9;1,7;0;19,3;211;;49,04;
01-01-2023 04:12;17;3;2,2;0;331;23,2;0,1;0;0;0;0;17,5;177;;58,61;
01-01-2023 05:12;13;2;2,1;0;344;19,7;0,1;1,1;2,3;3,5;0;17;120;;60,68;
01-01-2023 01:13;17;2;1;0,4;148;14,9;0,2;2,6;6,2;8,8;0;14,4;5;;65,41;
01-01-2023 02:13;13;6;0,4;0;238;6,7;0,3;5,3;10,5;15,8;0;12,7;0;;74,59;
01-01-2023 03:13;22;7;0,2;0;301;0,6;0,5;22,1;14,2;36,3;0;12,4;0;;78,34;
01-01-2023 04:13;26;6;0,2;0;343;0,6;0,6;48,6;11,3;60;0;12;0;;80,1;
01-01-2023 05:13;35;12;0,4;0;331;0,6;0,6;36;9,7;45,7;0;12;0;;82,63;
01-01-2023 01:14;23;10;0,3;0;307;0,7;0,6;35,4;11,9;47,2;0;12,1;0;;81,94;
