DateTime;PM10;CO;OZONO;NO;NO2;NOX;Vel Viento;Dir Viento;Temperatura;HR;Precipitacion;PM2.5
1/01/2023 1:00;31,4;0,5;17,4;0,1;2,1;2,2;1,2;242;11,8;76;0;23
1/01/2023 2:00;43;0,5;17,8;0,5;1,4;2;1,8;272;11,8;76;0;39
1/01/2023 3:00;45;0,5;15,4;0,6;2,8;3,4;1,8;274;11,7;76;0;26
1/01/2023 4:00;36,5;0,5;14,7;0,6;2,1;2,7;1,3;255;11,1;77;0;35
1/01/2023 5:00;32;0,5;11,4;0,4;2,5;2,9;1,3;249;11;78;0;25
1/01/2023 6:00;39,4;0,5;6,5;0,3;3,8;4,1;0,6;210;11;78;0;27
1/01/2023 7:00;43,3;0,6;7,1;1,7;4,2;5,9;0,5;155;10,7;80;0;29
1/01/2023 8:00;32,3;0,6;15,3;3;0,9;3,9;1,4;49;12,8;72;0;24
1/01/2023 9:00;31,2;0,4;27,2;0;0;0;1,4;307;16;57;0;27
1/01/2023 10:00;23,7;0,4;31,2;0;0;0;0,9;4;16,6;54;0;21
1/01/2023 11:00;17,9;0,3;31,3;0;0;0;2,2;63;17,3;49;0;15
1/01/2023 12:00;13,9;0,2;33,1;0;0;0;2;96;19,9;39;0;13
1/01/2023 13:00;11,2;0,2;32,7;0;0;0;2,2;77;19;38;0;9
1/01/2023 14:00;18;0,4;37,3;0;0;0;3,1;270;19,7;43;0;12
1/01/2023 15:00;21,4;0,5;44,1;0;0;0;4,4;274;18,6;50;0;17
1/01/2023 16:00;30,2;0,5;36,6;0;0;0;5;255;16;61;0;26
1/01/2023 17:00;25;0,5;32,7;0;0;0;2,6;229;14,8;66;0,1;25
1/01/2023 18:00;25,5;0,5;23,9;0;0;0;2,7;233;13,9;70;0;25
1/01/2023 19:00;18,6;0,6;16,7;0,9;1,6;2,5;1,9;233;12,3;79;4,6;18
1/01/2023 20:00;17;0,6;11,6;1,2;3,5;4,7;1,9;257;12,1;82;0,5;17
1/01/2023 21:00;16,9;0,5;12,3;0,8;3;3,7;0,8;28;11,7;82;1,3;15
1/01/2023 22:00;20,8;0,5;12,6;0,2;1,8;1,9;0,2;158;11,3;83;0,3;9
1/01/2023 23:00;15,4;0,5;10,6;0,5;3,5;4;0,4;127;11,1;83;0,3;6
44928;19,1;0,5;11,7;0;0;0;0,4;133;11;84;0;13
2/01/2023 1:00;15,4;0,5;8,5;0,3;3,5;3,8;0,6;200;10,6;84;0;11
2/01/2023 2:00;12,2;0,4;8,6;0,3;1,2;1,5;1,4;29;10,8;83;0;10
2/01/2023 3:00;13,6;0,3;10,3;0;0;0;0,3;57;11;80;0;9
2/01/2023 4:00;10,3;0,3;8,9;0;0;0;1,1;53;11,3;79;0;8
2/01/2023 5:00;9;0,3;10,1;0;0;0;0,9;51;11,3;78;0;9
2/01/2023 6:00;10;0,5;5,4;2,9;2,5;5,4;1,4;27;11,4;78;0;8
2/01/2023 7:00;9;0,6;2,3;6,6;3,7;10,3;1,8;50;11,4;78;0;9
2/01/2023 8:00;9;0,7;4,7;10,8;3,1;13,9;1,4;34;12,2;75;0;9
2/01/2023 9:00;14;0,7;10,8;9,3;1,9;11,3;0,5;20;15,7;61;0;14
2/01/2023 10:00;16,8;0,5;18;0;0;0;0,8;315;17,3;54;0;10
2/01/2023 11:00;17,7;0,5;27,4;0;0;0;1,3;170;19,3;46;0;10
2/01/2023 12:00;16,8;0;0;4,8;2,3;7;1,8;277;18,5;46;0;9
2/01/2023 13:00;13;0,4;41;3,1;0;2,9;1,8;284;19,2;44;0;13
2/01/2023 14:00;29,5;0,5;32,6;3,5;1,5;5;4,3;269;16,7;55;0,4;12
2/01/2023 15:00;27,9;0,5;26,6;5,1;2,4;7,6;4,7;258;15,9;60;0,1;10
2/01/2023 16:00;20,9;0,6;19,7;5;5,3;10,2;3,2;242;13,5;74;2,6;15
2/01/2023 17:00;30,5;0,6;19,8;4,4;6,2;10,6;1,6;183;14,3;73;0;15
2/01/2023 18:00;27,3;0,8;13,3;4,5;12,4;16,9;1,2;245;14;72;0,9;16
2/01/2023 19:00;24,2;0,8;7,4;7;15,6;22,6;0,8;353;12,7;77;0,2;10
2/01/2023 20:00;18,2;1;5,8;12,5;19,2;31,8;1,3;345;12,4;77;0;10
2/01/2023 21:00;17,4;0,8;6,5;4,2;14,3;18,5;0,4;125;12,2;76;0;17
2/01/2023 22:00;27,8;0,7;4,6;5;16,9;21,8;0,4;204;12,3;78;0;15
2/01/2023 23:00;21,8;0,7;5;10,1;11,6;21,7;2,3;278;12,1;79;0,1;9
44929;15,6;0,6;3,6;6,9;11,6;18,5;0,9;315;12;80;0;13
3/01/2023 1:00;20,1;0,5;5,7;1,5;9,4;10,9;1,1;61;11,7;78;0;11
3/01/2023 2:00;19,9;0,5;6,6;1,4;5,7;7,1;0,6;244;11,7;78;0;17
3/01/2023 3:00;15,2;0,4;4,7;3,2;8,4;11,6;1,9;259;11,8;79;0;15
3/01/2023 4:00;15,2;0,4;4,9;4,1;8,9;13;1,3;274;11,5;77;0;12
3/01/2023 5:00;19;0,5;4,8;11;9,2;20,2;1,8;284;11,4;77;0;19
3/01/2023 6:00;25,3;0,8;1,3;35,5;13,5;49;0,7;278;10,4;80;0;15
3/01/2023 7:00;22,6;1,5;1,2;64,4;18,4;82,8;2;268;10,6;80;0;18
3/01/2023 8:00;32,1;0,9;4,8;29,6;10,5;40,1;0,3;145;12,3;75;0;23
3/01/2023 9:00;25,1;1;7,8;28;12,4;40,5;1;239;13,8;68;0;25
3/01/2023 10:00;33,3;0,7;21,2;16,5;8,5;25;0,8;269;17,8;51;0;28
3/01/2023 11:00;32,3;0,6;26,3;11,1;8,7;19,7;1,1;253;18,1;47;0;21
3/01/2023 12:00;31,6;0,4;28,5;0;0;0;3,8;285;18,4;47;0;15
3/01/2023 13:00;23,3;0,4;28;0;0;0;3;305;18,3;46;0;11
3/01/2023 14:00;27,5;0,4;27,4;0;0;0;1,9;327;18,9;46;0;8
3/01/2023 15:00;27,3;0,5;24,4;0;0;0;3,5;294;18,2;47;0;9
3/01/2023 16:00;20,6;0,4;23;0;0;0;3;300;18,4;49;0;9
3/01/2023 17:00;20,2;0,5;17,7;8;1;9;3,1;289;16,3;55;0;7
3/01/2023 18:00;20;0,6;13,9;7,7;2,7;10,4;2;55;12,6;74;13,8;7
3/01/2023 19:00;14,6;0,7;11,5;9,1;5,6;14,7;1,9;73;11;80;0,1;11
3/01/2023 20:00;10,2;1,1;2,1;27,2;15;42,3;1;33;11,2;79;0;7
3/01/2023 21:00;12,8;0,8;1,7;13,7;14,5;28,2;0,8;62;11,3;78;0;7
3/01/2023 22:00;13,2;0,9;1;17,9;15,3;33,2;0,1;63;11,5;78;0;6
3/01/2023 23:00;12,1;0,7;1,4;8,4;11,6;20;0,4;303;11,9;76;0;11
44930;11,3;0,7;1,3;12,9;10,1;23;1,2;271;11,8;77;0;10
4/01/2023 1:00;34,4;0,6;2,6;9,8;10,1;19,9;1,3;278;11,5;77;0;12
4/01/2023 2:00;25,6;0,4;8,1;2,7;2,8;5,5;1,5;287;11,4;76;0;11
4/01/2023 3:00;18,9;0,4;4,5;1;5,9;6,9;1,7;24;11,2;76;0;10
4/01/2023 4:00;13,8;0,4;5,9;1;3,4;4,4;0,9;352;11,1;76;0;9
4/01/2023 5:00;17,4;0,4;4,9;5;4,8;9,8;1,1;248;10,8;76;0;11
4/01/2023 6:00;15,2;0,7;1,1;25,6;16,1;41,6;1,8;266;10,5;78;0;8
4/01/2023 7:00;18,2;1,1;1,9;38,2;20,9;59,2;1,5;265;10,9;76;0;16
4/01/2023 8:00;19,8;0,9;6,3;23,2;16,1;39,4;0,1;162;12,4;70;0;18
4/01/2023 9:00;23,9;1,1;10,6;32,2;17,4;49,7;1;197;16,2;57;0;16
4/01/2023 10:00;21,5;0,7;19;15,3;10,3;25,6;0,5;216;17,2;51;0;18
4/01/2023 11:00;27,2;0,5;25,2;7,6;2,4;10;0,3;339;18,6;45;0;13
4/01/2023 12:00;29,6;0,5;24,6;6,1;5,8;12;0,5;302;17,6;47;0;14
4/01/2023 13:00;22,1;0,4;27,4;3,8;0,4;4,2;0,6;154;17,7;47;0;16
4/01/2023 14:00;30,5;0,5;25,5;6,6;2,8;9,4;3,4;277;17,3;54;0;11
4/01/2023 15:00;30,1;0,5;23,5;7,4;0,9;8,3;4,7;272;16,8;57;0;13
4/01/2023 16:00;31,5;0,5;20,8;8,2;0,4;8,5;4,7;265;16,5;58;0;20
4/01/2023 17:00;31,3;0,5;20;9,1;1,8;10,9;3,6;253;16,9;57;0;17
