Fecha ;PM10;PM2.5;So2;CO;OZONO;NO;NO2;NOX;Vel Viento;Dir Viento;Temperatura;HR;Precipitacion;Presion Baro
1/01/2024 1:00;31;31;0;0,5;3,7;5;12,9;17,9;1,1;128;13,7;81;0;565
1/01/2024 2:00;0;60;0;0,6;1,8;9,1;14,7;23,8;1,1;157;13,2;81;0;565
1/01/2024 3:00;0;57;0;0,7;0,4;17;16,2;33,2;0,9;188;12,6;83;0;564
1/01/2024 4:00;51,1;45;0;0,5;3,5;5,7;12;17,7;0,7;190;13,2;82;0;564
1/01/2024 5:00;49,5;31;0;0,5;2,6;7,3;12,7;20,1;0,8;195;13,2;80;0;564
1/01/2024 6:00;40,8;36;0;0,5;4;5,1;11;16,1;1,3;295;12,5;79;0;565
1/01/2024 7:00;32,5;20;0;0,4;6,1;7,3;9,4;16,7;0,9;339;12,3;77;0;565
1/01/2024 8:00;28,3;12;0;0,4;11;9,1;8,5;17,6;1,2;286;14,4;69;0,1;565
1/01/2024 9:00;28,9;18;0;0,4;17,5;8,8;8,2;17;1,1;203;19,4;52;0;566
1/01/2024 10:00;20,8;18;0;0,3;24,2;6,1;5,8;11,9;0,5;265;21,3;46;0;566
1/01/2024 11:00;15,5;9;0;0,2;20,9;4,2;2,3;6,5;2;359;20,2;48;0;565
1/01/2024 12:00;12;12;0;0,2;21,3;4,1;1,8;5,8;2,4;117;21,5;43;0;565
1/01/2024 13:00;9;9;0;0,2;23;4,1;1,9;5,9;1;149;24,2;37;0;565
1/01/2024 14:00;6,1;5;0;0,2;24,8;4,1;1,8;6;1,3;168;24,7;33;0;564
1/01/2024 15:00;6;6;0;0,3;32,3;4,3;5,3;9,6;1,6;332;22,5;42;0;563
1/01/2024 16:00;0;11;0;0,4;37,6;5;7,9;12,9;2,9;307;21,7;52;0;563
1/01/2024 17:00;0;18;0;0,3;33,3;4,4;7,3;11,7;1,6;8;19,7;57;0;563
1/01/2024 18:00;0;21;0;0,4;25,4;4,9;11,3;16,2;2,3;264;17,3;65;0;563
1/01/2024 19:00;23,4;20;0;0,5;17,8;4,6;16;20,5;1,4;255;16,1;71;0;564
1/01/2024 20:00;27;27;0;0,5;10,5;6,3;20,4;26,7;2,1;286;15,8;72;0;564
1/01/2024 21:00;31;21;0;0,5;10,2;5,7;18,2;23,9;1,2;147;15;75;0;565
1/01/2024 22:00;22,3;19;0;0,6;5,2;7,7;22,8;30,6;1,5;5;14,4;78;0;565
1/01/2024 23:00;36;22;0;0,6;3;9,8;21,7;31,5;1;334;14,2;78;0;565
45293;25,6;10;0;0,5;2,4;15,6;23,1;38,7;1,2;17;14,4;78;0;565
2/01/2024 1:00;22,8;16;0;0,6;1,8;12,7;23,4;36,1;1,6;70;14,3;78;0;565
2/01/2024 2:00;25,8;22;0;0,6;0,5;16;25,1;41;1,7;133;14,1;79;0;564
2/01/2024 3:00;36,8;25;0;0,5;1,7;13,4;19,5;32,9;1,4;208;14,1;76;0;564
2/01/2024 4:00;28,6;25;0;0,4;0,8;9;16,8;25,9;1,1;231;13;72;0;564
2/01/2024 5:00;29,4;16;0;0,4;0,4;14,6;15,7;30,3;1,2;220;12,3;71;0;564
2/01/2024 6:00;23,8;18;0;0,7;0,3;35,3;17,9;53,2;0,8;238;11,7;73;0;564
2/01/2024 7:00;31,2;21;0;1,2;0,5;73,6;22,3;95,9;0,8;271;12,4;72;0;565
2/01/2024 8:00;31,8;31;0;0,9;7,3;43,7;15,6;59,2;1,3;352;14,7;64;0;565
2/01/2024 9:00;29,9;21;0;0,3;16,9;7,6;5,7;13,3;0,7;90;18,3;53;0;565
2/01/2024 10:00;21,6;16;0;0,2;19,3;6,6;3,9;10,6;2,2;43;20,2;45;0;565
2/01/2024 11:00;29,7;18;0;0,3;23,6;6;4,4;10,4;1,8;33;22,3;38;0;565
2/01/2024 12:00;22,4;9;0;0,3;30,7;7,1;7,1;14,1;0,9;62;22,3;37;0;564
2/01/2024 13:00;16,6;14;0;0,3;33,9;6,3;8,2;14,5;0,8;69;23,1;37;0;564
2/01/2024 14:00;12,8;12;0;0,4;37,9;6,2;10,4;16,6;1;354;22,6;41;0;563
2/01/2024 15:00;18,8;18;0;0,4;42,6;6,5;14;20,5;3,2;309;21,5;51;0;563
2/01/2024 16:00;23,5;23;0;0,5;40,6;6,4;16,5;22,9;1,1;296;19,8;56;0;563
2/01/2024 17:00;32,9;26;0;0,5;34,3;7,1;19,1;26,1;1,7;7;18,5;60;0;563
2/01/2024 18:00;35,9;25;0;0,8;23,9;7,9;26,5;34,3;2;13;17,1;64;0;563
2/01/2024 19:00;40,7;26;0;0,7;18,4;8,7;27,7;36,4;2,8;190;16,3;66;0;564
2/01/2024 20:00;42,6;26;0;0,6;14,4;8,1;23,2;31,3;1,4;34;15,5;67;0;564
2/01/2024 21:00;36,9;19;0;0,6;13,5;7,4;23,5;30,9;1,7;96;15,2;64;0;565
2/01/2024 22:00;34,3;23;0;0,7;4;16,4;36,5;52,8;2,1;207;15;66;0;565
2/01/2024 23:00;37,2;26;0;0,5;8,4;8,1;22;30,1;2;269;14;72;0;565
45294;37,2;13;0;0,4;5,5;7,5;21,8;29,3;1,6;307;13,5;76;0;565
3/01/2024 1:00;38,3;21;0;0,5;2,3;11,7;27;38,7;1,9;321;13,5;77;0;565
3/01/2024 2:00;34,1;17;0;0,4;5,4;5;20,3;25,3;1,2;309;13,4;76;0;564
3/01/2024 3:00;33,6;23;0;0,4;2,6;7,1;22,9;30,1;1,4;316;13,2;76;0;564
3/01/2024 4:00;24,7;22;0;0,6;0,3;16,9;23,9;40,8;0,8;289;12,6;79;0;564
3/01/2024 5:00;38,1;19;0;0,5;0,3;18,6;22,3;40,9;0,9;228;11,9;78;0;564
3/01/2024 6:00;27,9;23;0;1;0,3;62,3;21,9;83,9;1,2;225;11,6;78;0;565
3/01/2024 7:00;31,6;26;0;1,8;0,4;125;24,2;149,3;1,1;186;11,3;79;0;565
3/01/2024 8:00;43,4;38;0;1,3;2,4;67,3;23,1;90,3;1,3;200;13,5;72;0;565
3/01/2024 9:00;39,1;30;0;0,9;9,9;34,5;24,7;59,2;1;141;18,1;57;0;566
3/01/2024 10:00;47,9;29;0;0,6;17,3;19,1;18,2;37,3;0,9;249;20,9;47;0;565
3/01/2024 11:00;47,2;21;0;0,4;25,8;10,7;12,9;23,6;0,8;205;21,7;41;0;565
3/01/2024 12:00;34,3;13;0;0,4;32,5;7,9;10,7;18,6;1,1;177;22,9;37;0;564
3/01/2024 13:00;25,2;21;0;0,4;37,6;7,4;11,7;19,1;1,2;237;22,9;35;0;564
3/01/2024 14:00;19,3;15;0;0,4;42,7;6,6;12,3;18,9;3,2;176;22,5;44;0;563
3/01/2024 15:00;0;28;0;0,5;38,6;6,3;15,9;22,3;0,3;285;19,7;52;0;563
3/01/2024 16:00;44,5;27;0;0,5;35,2;7,3;17,7;25;1,6;318;19,6;54;0;563
3/01/2024 17:00;43,7;22;0;0,5;35,1;6,8;15,4;22,2;2,4;284;19,7;56;0;563
3/01/2024 18:00;44,6;19;0;0,6;26,2;7,5;19,2;26,7;3;285;17,9;61;0;563
3/01/2024 19:00;46,3;14;0;0,7;14,1;10,3;21,9;32,3;2,6;305;16,4;67;0;564
3/01/2024 20:00;35,2;22;0;0,5;7,3;13,3;20,8;34,1;2;4;15,3;62;0;564
3/01/2024 21:00;30,7;8;0;0,6;3,9;14,7;23,6;38,3;1,7;145;14,7;61;0;565
3/01/2024 22:00;29,8;15;0;0,7;1,2;19,1;26,6;45,8;1,6;211;14,7;59;0;565
3/01/2024 23:00;28,4;19;0;0,7;0,5;19,7;25,3;45;1;129;13,6;64;0;565
45295;27,2;11;0;0,9;0,4;34,6;24,9;59,5;0,9;122;12,5;68;0;565
4/01/2024 1:00;35,4;23;0;0,8;0,3;54,6;24,1;78,7;1,1;128;12,1;73;0;565
4/01/2024 2:00;42,9;26;0;0,7;0,2;49;23;72;0,6;133;10,4;80;0;564
4/01/2024 3:00;46,9;24;0;0,9;0,2;64;21;85;0,9;139;10,5;80;0;564
4/01/2024 4:00;48;21;0;0,8;0,1;68,5;19;87,5;1,2;140;10,5;80;0;564
4/01/2024 5:00;38,2;17;0;0,6;0,3;58,1;18,1;76,3;1,4;96;10,2;80;0;564
