;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DateTime;;;;;;;;;;;;;;;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR;;;;;;;;;;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;%;;;;;;;;;;
01-01-2023 01:00;67;66;0,7;0;262;25,6;0,9;0,2;3,2;3,4;4,2;12,5;0;71;;;;;;;;;;
01-01-2023 02:00;96;0;1;0;257;14,7;1,2;4,2;11,6;15,8;5,5;12,1;0;73,4;;;;;;;;;;
01-01-2023 03:00;122;57;1,2;0;259;18,5;1;1,1;7;8,1;2,7;12,1;0;73,5;;;;;;;;;;
01-01-2023 04:00;71;59;0,3;0;190;14;1;0,3;6,2;6,6;3,2;11,4;0;74,1;;;;;;;;;;
01-01-2023 05:00;79;48;0,3;0;161;10,2;1;0,4;8,2;8,5;2,6;11;0;74,1;;;;;;;;;;
01-01-2023 06:00;64;36;0,5;0;296;15,6;0,9;2,3;5,5;7,7;1,9;11,1;0;73,5;;;;;;;;;;
01-01-2023 01:01;39;38;0,7;0;129;9,2;0,9;4,8;6,1;10,9;1,6;9,8;12;74,3;;;;;;;;;;
01-01-2023 02:01;60;51;1,1;0;90;10,9;1;9,4;4;13,4;3,3;12,1;105;72;;;;;;;;;;
01-01-2023 03:01;80;41;0,5;0;120;22;1;6,9;5,1;12;3,4;18,7;274;55,1;;;;;;;;;;
01-01-2023 04:01;51;19;1;0;164;28,2;0,7;0;0;0;1,8;20,7;371;47,4;;;;;;;;;;
01-01-2023 05:01;17;14;1,3;0;127;27,2;0,7;0;0;0;1,4;20,8;392;45,2;;;;;;;;;;
01-01-2023 06:01;25;15;1,1;0;148;30,6;0,6;0;0;0;1,5;21,1;393;42,4;;;;;;;;;;
01-01-2023 01:02;0;23;0,6;0;219;32,6;0,7;0;0;0;1,5;22,3;403;40,5;;;;;;;;;;
01-01-2023 02:02;0;39;3,6;0;243;42,5;0,9;2,6;1,4;4;2,4;21,4;563;48,9;;;;;;;;;;
01-01-2023 03:02;71;41;3,9;0;237;35,8;0,9;2,2;0,5;2,7;2;17,8;225;59,6;;;;;;;;;;
01-01-2023 04:02;56;38;3,6;0;245;34,3;0,9;0;0;0;2;18;259;59,2;;;;;;;;;;
01-01-2023 05:02;54;35;2,8;0;246;31,6;0,9;2,5;1,4;3,8;2;16;86;63,9;;;;;;;;;;
01-01-2023 06:02;43;27;2,4;0;245;24,4;1;5,5;5,1;10,7;1,9;14,6;18;67,8;;;;;;;;;;
01-01-2023 01:03;48;26;1,3;0;225;21,1;1;3,1;5,5;8,6;1,7;13,6;0;70,1;;;;;;;;;;
01-01-2023 02:03;44;28;1,9;0;252;15,5;1,1;5,8;9;14,8;2,1;13,4;0;73;;;;;;;;;;
01-01-2023 03:03;44;24;1,3;0;254;15,9;1;4,8;7,2;11,9;1,4;13;0;73,9;;;;;;;;;;
01-01-2023 04:03;34;19;0,9;0,5;21;14,5;0,9;6;7,8;13,8;1,3;12,2;0;75,5;;;;;;;;;;
01-01-2023 05:03;20;10;0,6;0;102;15,6;0,8;1,4;6,2;7,6;1,2;10,4;0;76,2;;;;;;;;;;
01-01-2023 06:03;0;18;0,8;0;113;15,2;0,7;1;5,5;6,4;1,9;10,2;0;77,4;;;;;;;;;;
01-01-2023 01:04;19;12;0,7;0;114;15,8;0,7;0;2,2;1,9;2,7;10,7;0;75,9;;;;;;;;;;
01-01-2023 02:04;16;16;0,5;0;106;14,3;0,7;0,3;1,1;1,4;5,2;10,4;0;74,3;;;;;;;;;;
01-01-2023 03:04;23;11;0,4;0;74;8,4;0,7;2,3;3,9;6,2;2,5;10,4;0;76,4;;;;;;;;;;
01-01-2023 04:04;22;15;0,4;0;146;6;0,6;0,7;4,2;4,9;2,3;10,4;0;76,4;;;;;;;;;;
01-01-2023 05:04;17;17;0,4;0;155;3,7;0,8;6,7;5,1;11,8;2,2;10,6;0;75,9;;;;;;;;;;
01-01-2023 06:04;28;13;0,4;0;165;3,3;0,8;19,6;4,2;23,8;1,8;10,1;0;75,6;;;;;;;;;;
01-01-2023 01:05;31;19;0,4;0;170;3,3;1;29,1;4,9;34;1,7;10,4;6;74,6;;;;;;;;;;
01-01-2023 02:05;35;22;0,5;0;160;4,6;1,1;26,6;5;31,6;4,3;12,1;83;72,3;;;;;;;;;;
01-01-2023 03:05;47;25;1,5;0;250;9,4;1,1;23,5;8,4;31,8;3,3;15,4;242;63,6;;;;;;;;;;
01-01-2023 04:05;47;27;0,8;0;255;15,1;1;16,2;7,3;23,5;2,2;16,3;285;58,3;;;;;;;;;;
01-01-2023 05:05;40;26;0,5;0;18;23,4;1;10,7;6,7;17,4;1,7;19,1;450;50,7;;;;;;;;;;
01-01-2023 06:05;35;27;1,4;0;236;32,6;0,9;5,8;6,8;12,5;1,7;19,8;432;46,4;;;;;;;;;;
01-01-2023 01:06;37;24;2,8;0;247;37,1;0,8;3,4;2,2;5,7;1,7;21,4;645;46,3;;;;;;;;;;
01-01-2023 02:06;40;23;4,1;0;236;36,1;0,8;4,1;1,6;5,7;2,2;20,9;535;49,9;;;;;;;;;;
